vocab_id,syllabus_order,level_min,level_max,level_raw,additional_levels,hanzi,syllabus_form,sense_number,syllabus_pinyin,pinyin,pinyin_search,pinyin_numeric,syllabus_part_of_speech_zh,part_of_speech_zh,example_zh,example_review_status,curation_status,source_id,source_locator,notes
hsk26-v01695,1695,4,4,4,,帅,帅,,shuài,shuài,shuài,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3423,
hsk26-v01696,1696,4,4,4,,顺便,顺便,,shùnbiàn,shùnbiàn,shùnbiàn,,副,副,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3424,
hsk26-v01697,1697,4,4,4,,顺利,顺利,,shùnlì,shùnlì,shùnlì,,形,形,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3425,
hsk26-v01698,1698,4,4,4,,顺序,顺序,,shùnxù,shùnxù,shùnxù,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3426,
hsk26-v01699,1699,4,4,4,,说法,说法,,shuōfǎ,shuōfǎ,shuōfǎ,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3427,
hsk26-v01700,1700,4,4,4,,说明,说明,,shuōmíng,shuōmíng,shuōmíng,,动、名,动、名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3428,
hsk26-v01701,1701,4,4,4,,说明书,说明书,,shuōmíngshū,shuōmíngshū,shuōmíngshū,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3429,
hsk26-v01702,1702,4,4,4,,硕士,硕士,,shuòshì,shuòshì,shuòshì,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3430,
hsk26-v01703,1703,4,4,4（5）,5,死,死,,sǐ,sǐ,sǐ,,动、形、（副）,动、形、（副）,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3431,
hsk26-v01704,1704,4,4,4,,速度,速度,,sùdù,sùdù,sùdù,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3432,
hsk26-v01705,1705,4,4,4,,塑料,塑料,,sùliào,sùliào,sùliào,,名,名,,,syllabus_only,hsk26-zh,reference/HSK_SYLLABUS_ZH.md:3433,
