grammar_lesson_id,grammar_element_id,relation_role,relation_order,review_status,notes
glesson_6360c8ccc591431488f7006797127eb7,gelement_cc1124189e214998956fa0111f72d8f5,primary,7,approved,
glesson_6360c8ccc591431488f7006797127eb7,gelement_9f625c4306af4b39a5d9d8c7767907e6,primary,8,approved,
glesson_6360c8ccc591431488f7006797127eb7,gelement_497dae9abc0a4e70b448de96ae7c082f,primary,9,approved,
glesson_6360c8ccc591431488f7006797127eb7,gelement_be6b840d25d548cfa24ea974f4e6ed8c,primary,10,approved,
glesson_6360c8ccc591431488f7006797127eb7,gelement_eecf79d4fe9d431392dbcab62a22312d,primary,11,approved,
glesson_6360c8ccc591431488f7006797127eb7,gelement_e829b70e52294b1c89f12360531b5922,primary,12,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_bdcc1eb9b68642709fef038f9c56356d,primary,1,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_e75afce261e84221ac67aa5deb20aa6e,primary,2,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_665373a62d0645feb3adfdb5ad3ece47,primary,3,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_70962b08c7dd41ccbc1be94196b01ba5,primary,4,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_98f02d22278e40b49046a108c7d310d7,primary,5,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_4eab0ee35d744fbf90c6ea487c1a4e05,primary,6,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_a5965b5d9fb34358ab05157655564928,primary,7,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_29037706df2a4903889a547f54515ca8,primary,8,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_52857fce7e244dab86941250a5f2ea4b,primary,9,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_0531444a711c43b4821ae70074474565,primary,10,approved,
glesson_d7cad090d9554245a5dbed09caa87826,gelement_159a59e980454a6c9a573b1b8a62306d,primary,11,approved,
