runtime_order,deck_order,card_id,sentence_id,active,direction,deck_id,deck_name,response_style,tags
1579,761,scard_f07a12eef8f34fc8a7b7fbc24aeef42d,sent_84b2ebefe2cb4f67964fa585d4c28a3a,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1580,762,scard_09d216c92c414ab69499d0d98974c1d7,sent_d4bd3d8400874a00a462789f3e02d03c,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1581,763,scard_ec35a301b61640a897192a88c8431b36,sent_75fe70204c3e4b8e99211edc647cc255,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1582,764,scard_34d364dbae0a4f51a90d1751b5875f3f,sent_04ec0859b4f74e36b2a46f016747b16d,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1583,765,scard_fe1b262bc79642f5af86241a5fde166a,sent_13618b6eee804d838880706be7668aee,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1584,766,scard_bb206bd50aff4ff193c8f6a8a8022bf3,sent_90683439a30942ad96894b941aea8ec9,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1585,767,scard_7e5f8e42ca894081a5b252eaba3426fa,sent_ed643151bde94b91b69fe940413ac050,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1586,768,scard_d414aea3f46b45dbb1889c23aafde444,sent_9025e2649f4e4745ab4db7a9b99770bb,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1587,769,scard_4b0ea67ac06342e5b2d505eca784d7d7,sent_dd217b18904a42cbb99e0bc1b88741a2,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1588,770,scard_3045784f951a4666bc40c737fd34aa08,sent_f4bbe7fca181487ca4c704591155e6c6,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1589,771,scard_e305b020ce784f4bbfbfabc2ce0d5f16,sent_5d918872f5b7416cb95abcc92483fbd1,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1590,772,scard_44047176bd4d4cd8b742b40b03279297,sent_7d1320b342b04ed39c3129b59dff4437,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1591,773,scard_5dcda8c56ef14aa385fb96f65fa899f7,sent_760ceb6d0cab40348fc12fe4c8a5677d,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1592,774,scard_877c818ebc90456db5b6749facbef3a2,sent_15957da7654b4995a8891ca65634f9c7,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1593,775,scard_ca13df4191684eda999fa84cb98f7aa0,sent_809187bb221741e3b2d391e93d133a29,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1594,776,scard_5f73529592784506beb86fa1d9d226fd,sent_bdef322cd03c4c6db5dafa4f56b7ddb8,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1595,777,scard_e82970fbcb89455ab84c586922622e7c,sent_29e52e36d19f4a90b83ca01684c208da,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1596,778,scard_66addec7ac6e441ab23bf89633f45409,sent_53f1c7111c2e4be395c4b01cf9c8f93f,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1597,779,scard_964ab7329372466691dc56efd2268cd2,sent_bd9ec54da3b645a3a87ef2427cb93f26,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1598,780,scard_1b2055d9d3bf497ebb16ce75daee43fd,sent_f805408ef3fa4fe480676fb7f0b49143,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1599,781,scard_94fcc92b321d474d85de1cacf5980957,sent_966f15795d28478bb20e50eddefa934d,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1600,782,scard_1cd8775bf93941c7aaaaf53bc344f5c2,sent_db8b676bc67845278b2fb5dc18e64d9f,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1601,783,scard_18453cf2cf0140d1beca634bf1eab9a1,sent_7f7f0317c5fd4244a00bae524ee61a53,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1602,784,scard_192512db3f4b492db1848c4bd5e8a41a,sent_335af95e75ab400dbb489f5a4da257e5,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1603,785,scard_9c27947db100403881e2c3d9bdca6e75,sent_6e66058c8163445ea64a9c1dd333bd67,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1604,786,scard_64c15a012de144fe9d55ed19791695a3,sent_daa32a8c42704c85afea558d5d5cd236,false,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1605,787,scard_aa9f2a1193c34088a4bed5a85ce7ab01,sent_ff5a49e0b9b349e9ae3386cc30fbe1a4,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
1606,788,scard_51e0e5b509264730b87de3a03bb72afd,sent_c20355c6fedc491eb0ae6ed75af352a0,true,zh_to_en,sentence_hsk3,HSK 3 sentence cards — 2026 syllabus aligned,direction_default,hsk3|hsk2026|sentence|zh_to_en|grammar_curated
